"depto","area","factor","sexo","uso_celular","tiene_celular","uso_internet"
1,1,1456,1,NA,NA,NA
1,1,1456,1,1,1,1
1,1,1456,2,1,1,NA
1,1,1456,1,1,1,NA
1,1,1456,2,1,1,NA
1,1,1456,2,1,1,1
1,1,1456,2,1,2,1
1,1,1456,1,2,2,NA
1,1,1456,2,NA,NA,NA
1,1,1456,2,1,1,1
1,2,1304,1,1,1,1
1,2,1304,2,1,1,1
1,2,1304,1,NA,NA,NA
1,2,1304,2,NA,NA,NA
1,2,1304,2,1,1,1
1,2,1304,2,1,1,1
1,2,1304,2,1,1,1
1,2,1304,2,NA,NA,NA
1,2,1304,2,NA,NA,NA
1,2,1304,1,1,1,1
1,2,1304,2,1,1,1
1,2,1304,2,1,1,1
1,2,1304,2,1,1,1
1,2,1304,1,NA,NA,NA
1,2,1304,2,NA,NA,NA
1,2,1304,1,2,2,NA
1,2,1304,2,2,2,NA
1,2,1304,2,1,1,1
1,2,1304,1,1,1,NA
1,2,1304,2,2,2,NA
1,2,1304,2,1,1,1
1,2,1304,2,1,1,1
1,2,1304,1,1,1,1
1,2,1304,2,1,1,1
1,2,1304,1,1,1,1
1,2,1304,2,2,2,NA
1,2,1304,1,NA,NA,NA
1,2,1304,1,1,1,1
1,2,1304,2,1,1,1
1,2,1304,2,1,1,NA
1,2,1304,2,NA,NA,NA
1,2,1304,2,1,1,1
1,2,1304,2,NA,NA,NA
1,2,1304,2,NA,NA,NA
1,2,1304,2,NA,NA,NA
1,2,1304,1,1,1,1
1,2,1304,2,1,1,1
1,2,1304,1,NA,NA,NA
1,1,654,2,1,1,1
1,1,654,2,1,1,NA
1,1,654,1,1,1,1
1,1,654,1,1,1,1
1,1,654,2,1,1,1
1,1,654,1,1,2,1
1,1,654,1,1,2,1
1,1,654,2,1,2,1
1,1,654,1,1,1,1
1,1,654,2,2,2,NA
1,1,654,1,1,1,NA
1,1,654,2,1,1,NA
1,1,654,1,1,1,1
1,1,654,1,1,1,1
1,1,654,1,1,1,1
1,1,654,2,2,2,NA
1,1,654,1,1,1,1
1,1,654,2,1,1,NA
1,1,654,1,1,1,NA
1,1,654,2,1,1,1
1,1,654,1,1,1,NA
1,1,654,2,1,1,1
1,1,654,2,1,2,1
1,2,443,1,2,2,NA
1,2,443,2,1,1,NA
1,2,443,2,1,1,1
1,2,443,2,1,1,NA
1,2,443,1,1,1,1
1,2,443,2,1,1,1
1,2,443,2,1,2,1
1,2,443,1,NA,NA,NA
1,2,443,1,1,1,1
1,2,443,2,2,2,NA
1,2,443,1,2,2,NA
1,2,443,2,1,1,NA
1,2,443,1,1,1,2
1,2,443,1,1,1,1
1,2,443,2,2,1,NA
1,2,443,1,1,1,NA
1,2,443,1,2,2,NA
1,2,443,1,1,1,1
1,2,443,2,1,1,1
1,2,443,1,NA,NA,NA
1,2,443,1,1,1,NA
1,2,443,2,2,2,NA
1,2,443,1,NA,NA,NA
1,2,443,2,1,1,2
1,2,443,2,2,2,NA
1,2,443,1,1,1,2
1,2,443,1,1,2,2
1,2,443,2,2,2,NA
1,2,443,1,1,1,1
1,2,443,2,1,1,2
1,2,443,1,1,1,1
1,2,443,2,1,1,1
1,2,443,1,1,1,1
1,2,443,2,2,2,NA
1,2,443,2,2,2,NA
1,2,443,1,1,1,NA
1,2,443,2,2,2,NA
1,1,1104,1,1,1,1
1,1,1104,2,2,2,NA
1,1,1104,2,1,2,1
1,1,1104,1,1,1,NA
1,1,1104,1,1,1,1
1,1,1104,2,2,2,1
1,1,1104,2,1,1,1
1,1,1104,2,2,2,1
1,1,1104,1,2,2,1
1,1,1104,2,1,1,1
1,1,1104,1,1,1,1
1,1,1104,1,1,1,NA
1,1,1104,2,1,1,NA
1,1,1104,1,1,1,NA
1,1,1104,2,1,1,1
1,1,1104,2,1,1,NA
1,1,1104,1,1,1,NA
1,1,1104,2,2,2,1
1,1,1104,1,1,2,NA
1,1,1104,2,1,1,1
1,1,1104,2,1,1,1
1,1,1104,1,1,1,1
1,1,1104,2,1,1,1
1,1,1104,1,1,1,NA
1,1,1833,1,1,1,1
1,1,1833,2,1,1,1
1,1,1833,2,1,2,1
1,1,1833,2,NA,NA,NA
1,1,1833,2,NA,NA,NA
1,1,1833,1,1,1,1
1,1,1833,2,1,1,1
1,1,1833,2,1,1,1
1,1,1833,2,NA,NA,NA
1,1,1833,2,1,1,NA
1,1,1833,2,1,1,1
1,1,1833,2,1,1,1
1,1,1833,2,1,1,NA
1,1,1833,1,1,1,NA
1,1,1833,2,2,2,NA
1,1,1833,2,1,1,1
1,1,1833,1,1,1,1
1,1,1833,2,1,1,1
1,1,1833,1,2,2,NA
1,1,1833,2,1,1,1
1,1,1833,2,1,1,1
1,1,1833,2,1,1,1
1,1,1833,1,1,1,1
1,1,1833,1,1,2,1
1,1,1833,2,1,1,NA
1,1,1833,1,1,1,1
1,1,1833,1,1,1,1
1,1,1833,2,1,1,1
1,1,1833,2,1,1,NA
1,1,1833,1,1,1,1
1,1,1833,2,1,1,1
1,1,1833,2,NA,NA,NA
1,1,729,2,1,1,1
1,1,729,1,1,1,1
1,1,729,1,1,1,1
1,1,729,2,1,1,1
1,1,729,1,1,2,NA
1,1,729,2,1,1,1
1,1,729,2,1,1,1
1,1,729,1,1,1,1
1,1,729,2,1,1,1
1,1,729,2,1,1,1
1,1,729,2,1,1,1
1,1,729,1,1,1,NA
1,1,729,2,1,1,1
1,1,729,1,1,1,NA
1,1,729,1,2,2,1
1,1,729,1,1,1,1
1,1,729,2,1,1,1
1,1,729,1,1,1,1
1,1,729,1,1,1,NA
1,1,729,2,1,1,NA
1,1,729,2,2,2,1
1,1,729,1,1,1,1
1,1,729,2,1,1,1
1,1,729,2,1,1,1
1,1,729,1,1,1,NA
1,1,626,1,1,1,NA
1,1,626,2,1,1,NA
1,1,1581,1,1,1,NA
1,1,1581,2,1,1,1
1,1,1581,1,NA,NA,NA
1,1,1581,2,1,1,1
1,1,1581,2,1,1,1
1,1,1581,2,1,1,1
1,1,1581,2,1,1,1
1,1,1581,1,1,1,1
1,1,1581,2,1,1,1
1,1,1581,2,1,1,1
1,1,1581,1,1,1,1
1,1,1581,1,2,2,NA
1,1,1581,1,1,1,NA
1,1,1581,2,1,1,NA
1,1,1581,2,2,2,NA
1,2,1023,1,1,1,2
1,2,1023,2,1,1,NA
1,2,1023,1,1,1,1
1,2,1023,2,1,1,1
1,2,1023,2,2,2,NA
1,2,1023,1,1,1,2
1,2,1023,2,1,1,1
1,2,1023,2,2,2,NA
1,2,1023,2,1,1,1
1,2,1023,1,NA,NA,NA
1,2,1023,1,NA,NA,NA
1,2,1023,1,1,1,1
1,2,1023,2,1,1,1
1,2,1023,2,NA,NA,NA
1,2,1023,1,1,1,1
1,2,1023,2,1,1,1
1,2,1023,2,NA,NA,NA
1,2,1023,2,2,2,NA
1,2,1023,2,1,1,2
1,2,1023,1,2,2,NA
1,2,1023,2,2,2,NA
1,2,1023,2,NA,NA,NA
1,2,1023,2,1,1,1
1,2,1023,1,NA,NA,NA
1,2,1023,1,NA,NA,NA
1,2,1023,1,1,1,1
1,2,1023,2,1,1,1
1,2,1023,1,1,1,1
1,2,1023,1,1,1,1
1,2,1023,2,1,1,1
1,2,1023,2,1,1,1
1,2,1023,1,1,1,1
1,2,1023,2,1,1,NA
1,2,1023,1,1,1,1
1,2,1023,1,1,1,1
1,2,1023,2,1,1,NA
1,2,1023,1,1,1,1
1,2,1023,2,1,2,1
1,2,1023,1,2,2,NA
1,2,1023,2,2,2,NA
1,2,1023,2,2,2,NA
1,2,1023,1,NA,NA,NA
1,1,659,2,1,1,1
1,1,659,1,1,1,1
1,1,659,2,1,1,NA
1,1,659,1,1,1,1
1,1,659,1,1,1,1
1,1,659,2,1,1,1
1,1,659,2,1,1,1
1,1,659,2,1,1,NA
1,1,659,1,1,2,2
1,1,659,1,1,1,1
1,1,659,1,1,1,1
1,1,659,1,1,2,1
1,1,659,1,1,1,1
1,1,659,2,1,1,1
1,1,659,2,NA,NA,NA
1,1,659,2,NA,NA,NA
1,1,659,1,1,1,1
1,1,659,2,1,1,1
1,1,659,2,1,1,1
1,1,659,2,1,1,1
1,1,659,2,NA,NA,NA
1,1,973,2,2,2,NA
1,1,973,2,1,1,1
1,1,973,2,1,1,2
1,1,973,2,1,1,1
1,1,973,1,1,1,1
1,1,973,2,NA,NA,NA
1,1,973,1,NA,NA,NA
1,1,973,1,1,1,2
1,1,973,1,2,2,NA
1,1,973,2,1,1,NA
1,1,973,1,1,2,NA
1,1,973,2,2,2,NA
1,1,973,2,NA,NA,NA
1,1,973,1,1,1,1
1,1,973,2,1,1,1
1,1,973,1,2,2,NA
1,1,973,1,1,1,NA
1,1,973,2,1,1,NA
1,1,973,1,1,2,NA
1,1,973,2,1,1,NA
1,1,973,1,1,1,NA
1,1,973,1,1,1,1
1,1,973,2,1,1,NA
1,1,973,1,NA,NA,NA
1,1,973,1,1,1,1
1,1,973,2,1,1,1
1,1,973,2,2,2,NA
1,1,973,1,2,2,NA
1,1,973,1,2,2,NA
1,1,973,2,1,1,1
1,1,973,1,NA,NA,NA
2,1,99,1,1,1,1
2,1,99,2,1,1,NA
2,1,99,1,2,2,NA
2,1,99,2,NA,NA,NA
2,1,99,2,2,2,NA
2,1,99,1,1,1,1
2,1,99,1,1,1,1
2,1,99,1,1,1,2
2,1,99,2,1,1,1
2,1,99,1,1,1,2
2,1,99,2,2,2,NA
2,1,99,2,1,1,1
2,1,99,1,1,1,NA
2,1,99,2,1,1,NA
2,1,99,2,1,1,1
2,1,99,2,1,1,1
2,1,99,1,1,1,1
2,1,99,2,1,1,1
2,1,99,1,1,1,1
2,1,99,2,2,2,NA
2,1,99,2,1,1,1
2,1,99,2,1,1,1
2,1,99,2,1,1,1
2,1,99,1,1,1,1
2,1,99,1,1,2,1
2,1,99,1,NA,NA,NA
2,1,99,1,1,1,1
2,1,99,1,1,1,1
2,1,125,1,1,1,1
2,1,125,2,1,1,1
2,1,125,1,1,1,1
2,1,125,1,1,1,1
2,1,125,2,1,1,1
2,1,125,2,1,1,NA
2,1,125,2,2,2,NA
2,1,125,1,2,2,NA
2,1,125,2,1,1,2
2,1,125,2,1,1,1
2,1,125,1,1,1,1
2,1,125,2,1,1,1
2,1,125,2,1,1,1
2,1,125,1,1,1,NA
2,1,125,1,1,1,NA
2,1,125,2,2,2,NA
2,1,125,1,1,1,1
2,1,125,2,1,1,1
2,1,125,2,NA,NA,NA
2,1,125,1,1,1,1
2,1,125,2,1,1,1
2,1,125,2,1,1,1
2,1,125,1,1,1,1
2,1,125,2,1,2,2
2,1,125,2,NA,NA,NA
2,1,125,1,1,1,NA
2,1,125,2,1,1,1
2,1,125,1,1,1,NA
2,1,125,1,1,1,NA
2,1,125,1,1,1,1
2,1,125,2,1,1,1
2,1,125,1,2,2,NA
2,1,125,1,NA,NA,NA
2,1,66,1,1,1,NA
2,1,66,2,1,1,1
2,1,66,2,1,1,1
2,1,66,1,1,1,1
2,1,66,2,NA,NA,NA
2,1,66,1,2,2,NA
2,1,66,2,1,1,1
2,1,66,1,1,1,1
2,1,66,1,2,2,NA
2,1,66,1,1,1,1
2,1,66,2,1,1,1
2,1,66,2,1,1,1
2,1,66,2,1,1,1
2,1,66,2,1,1,1
2,1,66,1,1,1,1
2,1,66,2,1,1,1
2,1,66,1,1,1,NA
2,1,66,1,1,1,1
2,1,66,1,1,1,1
2,1,66,1,1,1,1
2,1,66,2,1,1,1
2,1,66,1,NA,NA,NA
2,1,66,1,1,1,NA
2,1,66,2,1,1,NA
2,1,66,1,1,1,NA
2,1,66,2,1,1,1
2,1,66,1,2,2,NA
2,1,66,1,2,2,NA
2,1,66,2,1,1,NA
2,1,66,1,2,2,NA
2,1,66,1,1,1,NA
2,1,66,2,1,1,NA
2,1,66,1,2,1,NA
2,1,66,1,1,1,1
2,1,66,2,NA,NA,NA
2,1,66,2,NA,NA,NA
2,1,66,1,1,1,NA
2,1,66,2,1,1,NA
2,1,66,1,1,1,1
2,1,66,1,2,2,NA
2,1,66,1,1,1,NA
2,1,66,2,1,1,1
2,2,172,1,1,1,1
2,2,172,2,1,1,1
2,2,172,1,1,2,1
2,2,172,2,1,1,2
2,2,172,2,1,1,1
2,2,172,2,2,2,NA
2,2,172,1,1,1,1
2,2,172,2,1,1,1
2,2,172,1,NA,NA,NA
2,2,172,1,1,1,NA
2,2,172,2,2,2,NA
2,2,172,1,2,2,NA
2,2,172,1,1,1,1
2,2,172,2,1,1,1
2,2,172,2,NA,NA,NA
2,2,172,1,1,1,1
2,2,172,2,1,1,NA
2,2,172,2,2,2,NA
2,2,172,1,2,2,NA
2,1,116,1,2,2,NA
2,1,116,2,2,2,NA
2,1,116,1,1,1,1
2,1,116,1,1,1,NA
2,1,116,2,1,1,1
2,1,116,1,NA,NA,NA
2,1,116,1,NA,NA,NA
2,1,116,2,1,1,1
2,1,116,2,NA,NA,NA
2,1,116,1,1,1,2
2,1,116,2,1,1,1
2,1,116,2,1,1,NA
2,1,116,1,1,2,NA
2,1,116,1,NA,NA,NA
2,1,116,2,1,1,1
2,1,116,2,2,1,2
2,1,116,1,1,1,1
2,1,116,2,1,1,NA
2,1,116,1,1,1,2
2,1,116,2,1,1,1
2,1,116,1,1,1,1
2,1,116,2,1,1,1
2,1,116,1,1,1,1
2,1,116,1,1,1,1
2,1,116,1,1,1,1
2,1,116,1,1,1,1
2,1,116,2,1,1,1
2,1,116,2,1,1,1
2,1,116,1,1,1,1
2,1,116,2,2,2,NA
2,1,116,1,1,2,1
2,1,116,2,NA,NA,NA
2,2,116,1,1,1,1
2,2,116,2,1,1,1
2,2,116,1,1,1,NA
2,2,116,1,1,2,1
2,2,116,2,1,2,1
2,2,116,1,1,1,NA
2,2,116,2,2,2,NA
2,2,116,1,2,2,NA
2,2,116,1,2,2,NA
2,2,116,2,NA,NA,NA
2,2,116,1,NA,NA,NA
2,2,116,1,1,1,1
2,2,116,2,1,1,1
2,2,116,2,NA,NA,NA
2,2,116,2,NA,NA,NA
2,2,116,1,1,1,1
2,2,116,2,1,2,1
2,2,116,1,2,2,1
2,2,116,2,2,2,NA
2,2,116,2,2,2,NA
2,2,116,2,2,2,NA
2,2,116,1,2,2,NA
2,2,116,1,1,1,NA
2,2,116,2,1,1,1
2,2,116,1,2,2,NA
2,2,116,1,1,1,1
2,2,116,2,1,1,1
2,2,116,2,1,1,1
2,2,116,1,1,1,2
2,2,116,2,1,1,2
2,2,116,1,1,1,2
2,2,116,1,NA,NA,NA
2,2,116,2,NA,NA,NA
2,2,116,1,1,1,1
2,2,116,1,1,1,1
2,2,116,2,1,1,1
2,2,116,1,1,2,2
2,2,116,1,1,1,1
2,2,116,2,1,1,1
2,2,116,1,2,2,NA
2,2,116,1,NA,NA,NA
2,2,116,2,NA,NA,NA
2,2,116,1,1,1,1
2,2,116,2,1,1,2
2,2,116,1,1,1,1
2,2,116,2,2,2,NA
2,2,116,2,NA,NA,NA
2,1,72,1,1,1,1
2,1,72,2,1,1,1
2,1,72,1,NA,NA,NA
2,1,72,2,1,2,1
2,1,72,1,1,1,1
2,1,72,2,1,1,1
2,1,72,1,1,1,1
2,1,72,2,1,2,1
2,1,72,1,1,1,1
2,1,72,2,2,2,NA
2,1,72,1,1,1,NA
2,1,72,1,1,1,1
2,1,72,2,1,1,1
2,1,72,1,1,2,1
2,1,72,1,1,2,1
2,1,72,1,1,2,1
2,1,72,1,1,1,NA
2,1,72,2,1,1,1
2,1,72,1,1,1,1
2,1,72,1,1,1,1
2,1,72,1,1,2,2
2,1,72,2,NA,NA,NA
2,1,72,1,1,1,1
2,1,72,2,1,1,1
2,1,72,2,1,2,1
2,1,72,2,2,2,NA
2,1,72,2,2,2,NA
2,1,72,1,2,2,NA
2,1,72,1,NA,NA,NA
2,1,72,2,1,1,NA
2,1,72,1,2,2,NA
2,1,72,1,1,1,NA
2,1,72,1,1,1,NA
2,1,72,1,1,1,1
2,1,72,2,2,2,NA
2,1,72,1,NA,NA,NA
2,1,72,2,NA,NA,NA
2,1,72,2,NA,NA,NA
2,1,72,2,2,2,NA
2,1,72,1,1,1,NA
2,1,72,2,1,1,1
